name,ratings,date,comment
 커피한잔 ,1,1주 전,간적이 없다
 김정철 ,1,1주 전,없음
 백쌍분 ,1,1주 전,식당없어요
 유장운 ,4,4주 전,한빛탑주변에 바닥대리석공사와 주변에 공사장이 많아서 아이들데리고 가면 신경좀 써야해요
 양준호 ,3,4주 전,없음
 오현진 ,5,2달 전,없음
 한혜미 ,5,2달 전,아이와 놀기좋았어요
 최천사tv ,5,5달 전,체험학습으로감
 김지현 ,5,6달 전,여기 음악분수 짱×10멋져!
 알아서머해 ,5,10달 전,교통교육체험도 가능합니다.
 cheol ho choe ,5,1년 전,없음
 Jongho Byeon ,4,1년 전,"어릴적 대전 엑스포때 방문 한적 있었는데 20년도 훌쩍넘어 다시 방문하게 되었습니다.
그때 화려함은 사라지고 한빛탑과 광장만 남아 있습니다.
그래도 탑과 광장이 남아 있어 어릴적 추억을 되내어 볼수 있는 좋은 시간이었습니다.

한빛탑 개방시간은 오전 9:30 ~ 17:40 이고 입장마감은 17:20분입니다.
관람요금은 어른 2500원, 청소년 2000원, 어린이 1500원 입니다.
한빛탑 주변으로 대전 엑스포 기념관과 야외…"
 배비비 ,2,1년 전,주차장과 본건물이 엄청난거리....
 UniLo 길용 Park ,5,1년 전,우리들의 꿈이 피어나는 기념탑 93m
 UniLo박길용 ,4,1년 전,없음
 jaelim seo ,5,1년 전,없음
 이재경 ,4,1년 전,주차공간이 넓어서  좋았어요
 윤치원 ,5,1년 전,없음
 엄순후 ,5,1년 전,넓고 괘적합니다.
 쭈이 ,5,1년 전,없음
 오익덕 ,3,1년 전,여전엔좋았었는데 누가정책을 잘못했는지 시민들의 놀이공간을 많이 빼앗아갔어요 ㅠ ㅠ
 우병열 ,1,1년 전,아직.이렇다.보고.즐길거리가.상당히부족한편.
 박찬희 ,5,1년 전,없음
 kimcb0960 ,5,1년 전,없음
 강재석 ,4,1년 전,주차공간 및 환경이 깨끗하고 깔끔한 편입니다
 신정식 ,5,1년 전,좋아요한빛탑
 지일환 ,2,1년 전,없음
 김인석 ,5,1년 전,없음
 장연욱 ,5,1년 전,없음
 Mr Park울프 ,2,1년 전,별볼일없는 장소
 고장곤 ,5,1년 전,없음
 김동근 ,3,1년 전,없음
 박명기 ,3,1년 전,예전 명성은 아랑곳없이 너무 덩그러니 과거만 남겨진것 같아요
 윤재호 ,4,1년 전,없음
 이상건 ,5,1년 전,"놀기좋고
숲이 좋은곳

맥주 한잔 저녁에 하기 딱 좋음"
 김신유 ,4,1년 전,없음
 JM ,3,1년 전,대전의 랜드마크
 권진태kon ,3,2년 전,적당하고 연휴에도 사람이 엄청많진 않아서 잘쉬다가 감
 배용기 ,3,2년 전,썰렁하네요
 남노재남 ,4,2년 전,없음
 웃둥이 ,5,2년 전,없음
 버그골드 ,4,2년 전,없음
 박상태 ,3,2년 전,없음
 LEE리사마리 ,5,2년 전,역사의뒤안길로
 이민재 ,2,2년 전,"(Google 번역 제공) 한국 기술 교육 대학교

(원문)
Korea of University Technology And Education"
 _log Bible ,3,2년 전,"과거의 명성은 없지만, 최근 리모델링을 통해 새단장한 곳"
 이선기 ,4,2년 전,없음
 임경철 ,2,2년 전,공사중인 곳이 많아 시산해요
 Ольга Гельд ,5,2년 전,없음
 채교열 ,1,2년 전,없음
 박천광 ,1,2년 전,주차장 공간은 엄청 좋으나 볼것이 없음
 김선광 ,3,2년 전,없음
 고정호 ,4,2년 전,없음
 Vladimir Kazalov ,5,2년 전,없음
